branch,local_exists,remote_exists,upstream,ahead_vs_origin_master,behind_vs_origin_master,tip_sha,tip_date,tip_author,tip_subject,linked_prs,disposition,evidence_note
chore/ci-cleanup-audit,true,true,origin/chore/ci-cleanup-audit,6,2,e6670b8b3,2026-04-08,Maleick,Update anatomy index for new source files,#680 MERGED merged https://github.com/Maleick/TextQuest/pull/680,delete_now,PR #680 merged to master on 2026-04-08; branch work is already consolidated.
claude/cross-machine-parity,true,false,,2,728,3addabbef,2026-04-03,Maleick,"fix: address PR review — remove runtime state, strip host paths",#362 MERGED merged https://github.com/Maleick/TextQuest/pull/362,delete_now,PR #362 merged to master; local-only stale branch.
claude/fix-ci-green,true,true,,2,553,3c2d68354,2026-04-07,Copilot,Finish PR #523 by removing the last stale submodule bootstrap from release workflows (#669),#523 CLOSED https://github.com/Maleick/TextQuest/pull/523,superseded,CI/release cleanup already superseded by later master cleanup PRs and current workflows.
claude/fix-clippy-batch-merge-regressions-v2,true,false,,0,736,b78391cb9,2026-04-03,Maleick,Fix clippy regressions from PR batch merge,#337 CLOSED https://github.com/Maleick/TextQuest/pull/337,superseded,Closed PR #337; superseded by PR #338 and later CI cleanup on master.
claude/fix-hwbp-main-thread,false,true,,0,593,fff512346,2026-04-05,Maleick,"chore: add EverQuest MCP + x64dbg MCP configs, revert dump limit",#489 CLOSED https://github.com/Maleick/TextQuest/pull/489,delete_now,No branch-only commits versus master.
claude/ghidra-offsets-and-docs,true,true,,6,728,bdb5a0f96,2026-04-08,Copilot,Resolve PR #366 merge conflicts against master (#676),#366 CLOSED https://github.com/Maleick/TextQuest/pull/366,superseded,OffsetDatabase functions map and GhidraDatabase already exist on master; remaining branch churn is stale rename-era docs/config.
claude/issue-111-server-name-resolution,true,true,,5,728,01ec2601d,2026-04-08,Copilot,feat(login): resolve PR #376 merge conflicts from dmft→textquest rename (#674),#376 CLOSED https://github.com/Maleick/TextQuest/pull/376,superseded,Server-name JoinServer flow already exists on master in textquest-common/src/login.rs and textquest-dll/src/hooks/eqmain_hook.rs.
claude/issue-113-pause-resume-hotkeys,true,true,,4,728,372204fa0,2026-04-03,Maleick,feat(tui): add HOME/END pause/resume hotkeys with status indicator (#113),#372 CLOSED https://github.com/Maleick/TextQuest/pull/372,superseded,HOME/END pause-resume hotkeys already exist on master in textquest/src/tui/event.rs and app state.
claude/issue-114-character-cache,true,true,,4,728,ecda579dc,2026-04-03,Maleick,feat(login): add character cache for auto-detected toon metadata (#114),#375 CLOSED https://github.com/Maleick/TextQuest/pull/375,superseded,SeenCharacter/CharacterCache already exist on master in textquest-common/src/login.rs.
claude/issue-115-login-error-backoff,true,true,,4,728,ed483ceca,2026-04-03,Maleick,feat(login): add configurable retry policy with exponential backoff (#115),#373 CLOSED https://github.com/Maleick/TextQuest/pull/373,superseded,Login retry policy with exponential backoff already exists on master in textquest-common/src/login.rs.
claude/issue-119-cast-telemetry,true,true,,4,728,c0db94e73,2026-04-03,Maleick,feat(combat): add cast telemetry types for readiness/result/timing (#119),#369 CLOSED https://github.com/Maleick/TextQuest/pull/369,superseded,CastReadiness/CastResult/CastTelemetry already exist on master in textquest-common/src/combat.rs.
claude/issue-125-buff-timers,true,true,,4,728,8ba5d748c,2026-04-03,Maleick,feat(combat): add buff timer model for maintenance rebuffing (#125),#374 CLOSED https://github.com/Maleick/TextQuest/pull/374,superseded,Buff timer models and UI surfaces already exist on master in textquest-common/src/combat.rs and textquest/src/tui/ui/groups.rs.
claude/issue-153-ipc-correlation-ids,true,true,,2,728,8a361c179,2026-04-03,Maleick,feat(ipc): add command correlation IDs for request-response matching (#153),#370 CLOSED https://github.com/Maleick/TextQuest/pull/370,superseded,IPC correlation IDs already exist on master in textquest-common/src/ipc.rs and textquest/src/ipc/pipe.rs.
claude/issue-349-dll-staging-names,true,true,,4,728,42de87a4e,2026-04-03,Maleick,feat(inject): add legitimate MS DLL name pool for stealth staging (#349),#371 CLOSED https://github.com/Maleick/TextQuest/pull/371,superseded,Legitimate Microsoft DLL staging name pool already exists on master in textquest/src/inject/dll_prep.rs.
claude/issue-352-pool-party,true,true,,2,651,10e6bf2c6,2026-04-07,Copilot,Resolve PR #461 PoolParty API drift in reflective DLL init path (#672),#475 MERGED merged https://github.com/Maleick/TextQuest/pull/475; #461 CLOSED https://github.com/Maleick/TextQuest/pull/461,superseded,PoolParty thread-pool execution is already present on master in the M5 stealth stack.
claude/issue-353-stack-spoof,true,true,,6,653,5a4a39faf,2026-04-08,Copilot,Resolve PR #450 conflicts by reconciling the stale branch with current master (#673),#450 CLOSED https://github.com/Maleick/TextQuest/pull/450,superseded,Stack spoofing is already present on master in textquest-dll/src/stealth/stack_spoof.rs; branch is stale conflict-resolution history.
claude/issue-365-fingerprint-spoof,true,true,,19,671,74939a69b,2026-04-04,Maleick,fix(stealth): address review comments — CXStr heap overflow + FNV prime,#440 CLOSED https://github.com/Maleick/TextQuest/pull/440,superseded,Fingerprint spoofing is already present on master in textquest-dll/src/hooks/fingerprint.rs; branch also accumulated unrelated merged feature work.
claude/issue-381-fix-jitter-rng,true,true,,6,710,9f8319695,2026-04-03,Maleick,style: fix collapsible_match clippy lint in pause/resume hotkeys,#382 CLOSED https://github.com/Maleick/TextQuest/pull/382,superseded,Retry jitter fix and makecamp scatter work are already represented on master.
claude/issue-386-makecamp-scatter,false,true,,0,702,061e3d8a8,2026-04-03,Maleick,Merge pull request #383 from Maleick/claude/issue-368-tui-map-polish,#407 CLOSED https://github.com/Maleick/TextQuest/pull/407,delete_now,No branch-only commits versus master.
claude/issue-454-spell-resolution,true,true,,3,653,3e3e007ff,2026-04-08,Copilot,Resolve PR #472 rename conflicts and streamline ability-set resolution (#679),#477 MERGED merged https://github.com/Maleick/TextQuest/pull/477; #472 CLOSED https://github.com/Maleick/TextQuest/pull/472,superseded,Spell auto-resolution is already present on master; branch now only carries stale rename/conflict history.
claude/issue-480-screenshot-ipc,true,true,,4,601,31b859c46,2026-04-08,Maleick,Update dmft-dll/src/hooks/dx11_null.rs,#504 MERGED merged https://github.com/Maleick/TextQuest/pull/504; #486 CLOSED https://github.com/Maleick/TextQuest/pull/486,superseded,CaptureScreenshot IPC and DX11 screenshot passthrough already exist on master.
claude/issue-481-deep-null-renderer,true,true,,2,601,eb952e64c,2026-04-07,Copilot,Resolve merge conflicts for PR #485 (dmft→textquest rename) (#671),#505 CLOSED https://github.com/Maleick/TextQuest/pull/505; #485 CLOSED https://github.com/Maleick/TextQuest/pull/485,superseded,DX11 NullRender draw-call suppression and screenshot-frame passthrough already exist on master in textquest-dll/src/hooks/dx11_null.rs.
claude/m7-advanced,false,true,,0,728,fccd3a012,2026-04-03,Maleick,Merge pull request #338 from Maleick/claude/april3-cleanup,#360 CLOSED https://github.com/Maleick/TextQuest/pull/360,delete_now,No branch-only commits versus master.
claude/m7-bundle,true,true,,0,728,fccd3a012,2026-04-03,Maleick,Merge pull request #338 from Maleick/claude/april3-cleanup,,delete_now,No branch-only commits versus master.
claude/m7-evasion,false,true,,0,728,fccd3a012,2026-04-03,Maleick,Merge pull request #338 from Maleick/claude/april3-cleanup,#359 CLOSED https://github.com/Maleick/TextQuest/pull/359,delete_now,No branch-only commits versus master.
claude/m7-hooking,false,true,,0,728,fccd3a012,2026-04-03,Maleick,Merge pull request #338 from Maleick/claude/april3-cleanup,#358 CLOSED https://github.com/Maleick/TextQuest/pull/358,delete_now,No branch-only commits versus master.
claude/m7-injection,false,true,,0,728,fccd3a012,2026-04-03,Maleick,Merge pull request #338 from Maleick/claude/april3-cleanup,#356 CLOSED https://github.com/Maleick/TextQuest/pull/356,delete_now,No branch-only commits versus master.
claude/m7-staging,false,true,,0,728,fccd3a012,2026-04-03,Maleick,Merge pull request #338 from Maleick/claude/april3-cleanup,#357 CLOSED https://github.com/Maleick/TextQuest/pull/357,delete_now,No branch-only commits versus master.
claude/m7-syscalls,false,true,,0,728,fccd3a012,2026-04-03,Maleick,Merge pull request #338 from Maleick/claude/april3-cleanup,#361 CLOSED https://github.com/Maleick/TextQuest/pull/361,delete_now,No branch-only commits versus master.
codex/add-mapfilter-search-criteria-persistence,true,true,,3,1010,7d5d75a6b,2026-04-03,Maleick,Merge branch 'master' into codex/add-mapfilter-search-criteria-persistence,,superseded,Mapfilter persistence is already represented on master; branch is an older alternate implementation.
codex/add-mapshow-maphide-presets,true,true,,3,1010,646ff0d83,2026-04-03,Maleick,Merge branch 'master' into codex/add-mapshow-maphide-presets,,superseded,Mapshow/maphide preset work is already represented on master; branch is an older alternate implementation.
codex/add-moveto-safety-break-modes,true,true,,3,1014,fc9604e7e,2026-04-03,openai-code-agent[bot],Enable safety breaks by default,,superseded,MoveTo safety break controls are already represented on master.
codex/add-mq2map-ui-layer-selector,true,true,,3,1010,372ae424c,2026-04-03,Maleick,Merge branch 'master' into codex/add-mq2map-ui-layer-selector,,superseded,Map layer selector functionality is already represented on master.
codex/add-mq2moveutils-autopause-hooks,true,true,,2,1014,791152bde,2026-04-03,openai-code-agent[bot],Add navigation autopause and pause status,,superseded,Autopause hooks are already represented on master.
